Website,Component1,Component2,Component3,Component4,Component5
1,C13,C6,C7,C5,C10
2,C4,C1,C9,C2,C18
3,C16,C23,C21,C22,C19
4,C3,C11,C24,C15,C25
5,C30,C29,C33,C8,C12
6,C31,C14,C34,C38,C36
7,C35,C37,C20,C28,C43
8,C44,C49,C17,C32,C27
9,C52,C40,C45,C51,C42
10,C46,C57,C39,C47,C54
11,C55,C41,C26,C64,C61
12,C68,C50,C65,C56,C62
13,C66,C72,C58,C60,C70
14,C48,C63,C4,C69,C67
15,C3,C10,C59,C7,C53
16,C5,C6,C9,C2,C12
17,C11,C17,C16,C20,C71
18,C15,C21,C13,C19,C23
19,C30,C22,C27,C25,C29
20,C28,C1,C26,C14,C34
21,C41,C33,C8,C31,C40
22,C35,C43,C73,C36,C46
23,C45,C24,C47,C32,C48
24,C42,C49,C37,C39,C18
25,C59,C57,C53,C51,C52
26,C65,C54,C60,C55,C38
27,C61,C66,C58,C71,C70
28,C56,C62,C63,C50,C68
29,C7,C3,C6,C64,C73
30,C2,C8,C72,C44,C12
31,C67,C1,C10,C18,C11
32,C15,C19,C4,C21,C13
33,C27,C26,C5,C14,C28
34,C31,C25,C22,C29,C32
35,C17,C20,C34,C30,C24
36,C42,C39,C9,C40,C37
37,C69,C46,C43,C44,C16
38,C51,C36,C45,C23,C35
39,C57,C54,C58,C41,C50
40,C55,C61,C62,C59,C48
41,C47,C66,C68,C67,C38
42,C69,C56,C65,C64,C49
43,C73,C5,C70,C63,C3
44,C9,C71,C7,C6,C1
45,C10,C72,C60,C12,C33
46,C16,C19,C11,C15,C8
47,C18,C25,C22,C24,C53
48,C27,C17,C13,C23,C28
49,C35,C26,C34,C33,C31
50,C4,C37,C38,C52,C14
51,C40,C30,C43,C20,C29
52,C47,C44,C32,C45,C42
53,C50,C51,C55,C48,C53
54,C36,C56,C58,C57,C39
55,C61,C21,C41,C62,C49
56,C59,C67,C46,C64,C60
57,C70,C1,C73,C54,C63
58,C5,C72,C3,C6,C8
59,C71,C7,C2,C65,C52
60,C4,C13,C66,C10,C2
61,C16,C69,C21,C14,C11
62,C27,C17,C19,C20,C22
63,C15,C24,C26,C9,C32
64,C18,C30,C34,C37,C25
65,C39,C33,C42,C40,C41
66,C36,C43,C12,C46,C44
67,C31,C48,C50,C51,C52
68,C68,C56,C35,C29,C23
69,C53,C38,C59,C60,C62
70,C49,C58,C54,C61,C64
71,C47,C70,C67,C69,C45
72,C73,C57,C28,C4,C63
73,C2,C65,C1,C5,C8
74,C9,C55,C72,C14,C7
75,C3,C10,C17,C15,C12
76,C24,C68,C19,C11,C18
77,C23,C16,C26,C20,C22
78,C13,C27,C6,C28,C30
79,C31,C39,C29,C37,C32
80,C35,C38,C66,C43,C44
81,C41,C46,C42,C71,C40
82,C50,C47,C33,C36,C54
83,C59,C52,C34,C49,C45
84,C58,C51,C55,C60,C53
85,C57,C67,C56,C62,C69
